cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_0480,Acetazolamide,unclear,47,1.5535602954026073,0.03615316876481611,80,2.208355830866406,0.7034918348249601,Procainamide (hydrochloride),2.136942189920391,0.9676620769407449,0.991304347826087
CVCL_0480,Acetohexamide,unclear,16,2.2035149051219896,0.06356208551094289,118,3.8210795567068807,0.5766733909673013,Procainamide (hydrochloride),2.962702759753217,0.7753575176295365,0.7391304347826086
CVCL_0480,Adagrasib,RAS inhibitor,17,2.2448299974845964,0.06676280147311275,131,3.7603610687173874,0.5969719280840976,Procainamide (hydrochloride),3.08548989206157,0.8205302192201432,0.6521739130434783
CVCL_0480,Adenine,unclear,25,1.9568094292135454,0.04728545805283946,75,3.258062512558699,0.600605243659606,Procainamide (hydrochloride),2.7562226300199493,0.8459698423206028,0.808695652173913
CVCL_0480,Adenosine,unclear,28,1.857840125738654,0.05277827512085975,118,2.7686084330920866,0.6710375160071834,Procainamide (hydrochloride),2.3712305401350866,0.8564701717269592,0.9565217391304348
CVCL_0480,Aliskiren,unclear,15,2.3627104629741034,0.05368527814844959,110,4.127817987465009,0.5723872685639175,Procainamide (hydrochloride),3.1557352322975856,0.7645044529290396,0.5565217391304348
CVCL_0480,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,10,2.9942034396613124,0.0786753476045785,137,5.418712385739326,0.5525673308554436,Acetazolamide,3.6368040567400772,0.6711565032149005,0.30434782608695654
CVCL_0480,Amsacrine,DNA synthesis/repair inhibitor,23,2.427923957654558,0.060686965806370896,89,3.2043319675986734,0.7577005073772193,Procainamide (hydrochloride),3.2306057887246618,1.0081994691535279,0.9739130434782609
CVCL_0480,Anastrozole,unclear,8,3.076766146019852,0.07616837213998628,165,5.641741078106121,0.5453575595590241,Procainamide (hydrochloride),4.380652825797011,0.7764717957009744,0.034782608695652174
CVCL_0480,Anethole trithione,unclear,11,2.9586441899806823,0.07232131037488287,125,4.9373415592033565,0.5992383055747235,Procainamide (hydrochloride),4.280210216833477,0.8669058369792207,0.13043478260869565
