cell_line,plate,drug,moa,n_cells,effect,perm_p,significant,n_deg,snr,ceiling_nir,identifiable,isolation,redundant,nn_drug
CVCL_0131,plate4,Gemfibrozil,unclear,49,,,False,,,1.0,True,1.0567984806531499,False,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0131,plate4,Tolcapone,unclear,49,,,False,,,0.7333333333333333,False,0.9538186854363635,True,Terfenadine
CVCL_0131,plate4,Terfenadine,unclear,64,,,False,,,1.0,True,1.0638060664287352,False,Tolcapone
CVCL_0131,plate4,Aliskiren,unclear,42,,,False,,,0.9333333333333333,True,0.8828985259563493,True,Quinestrol
CVCL_0131,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,47,,,False,,,0.9333333333333333,True,0.9578251057729535,True,Gemfibrozil
CVCL_0131,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,36,,,False,,,0.4,False,0.9392865420686772,True,Quinestrol
CVCL_0131,plate4,Elagolix sodium,unclear,42,,,False,,,1.0,True,0.9951802687459154,True,Terfenadine
CVCL_0131,plate4,Resveratrol,unclear,32,,,False,,,0.4666666666666667,False,0.9442000837895961,True,Gemfibrozil
CVCL_0131,plate4,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,32,,,False,,,0.9333333333333333,True,0.930024608381206,True,Quinestrol
CVCL_0131,plate4,Darinaparsin,unclear,37,,,False,,,0.9333333333333333,True,0.9021692385674747,True,Quinestrol
CVCL_0131,plate4,Ritonavir,unclear,31,,,False,,,0.4,False,0.9356761604209155,True,Terfenadine
CVCL_0131,plate4,Adenosine,unclear,37,,,False,,,0.6666666666666666,False,0.9041679285949087,True,Terfenadine
CVCL_0131,plate4,Sulfisoxazole,unclear,37,,,False,,,0.06666666666666667,False,0.8109640872855771,True,Terfenadine
CVCL_0131,plate4,Temsirolimus,MTOR inhibitor,34,,,False,,,0.3333333333333333,False,0.9306207225346588,True,Terfenadine
CVCL_1094,plate4,Quinestrol,unclear,32,,,False,,,1.0,True,0.9583901508989996,True,Ritonavir
CVCL_1094,plate4,Elagolix sodium,unclear,33,,,False,,,1.0,True,0.985795726728084,True,Quinestrol
CVCL_1094,plate4,Ritonavir,unclear,35,,,False,,,0.3333333333333333,False,0.9686357944318815,True,Quinestrol
CVCL_1094,plate4,Pentamidine (isethionate),unclear,31,,,False,,,0.0,False,0.9270511885555748,True,Quinestrol
CVCL_1547,plate4,Quinestrol,unclear,41,,,False,,,0.8,True,1.0303918642279106,False,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_1547,plate4,Tolcapone,unclear,37,,,False,,,1.0,True,0.9543872814175642,True,S-Adenosyl-L-methionine (disulfate tosylate)
