tier,cell_line,plate,drug,n_total,n_selection,n_strength_used,e_distance,perm_p,significant,distinctiveness
tier1_seen_conditions,CVCL_0480,plate4,Ropivacaine (hydrochloride monohydrate),26,26,12,0.07381969062499927,0.208955223880597,False,0.8354430379746836
tier1_seen_conditions,CVCL_0480,plate4,Salicylic acid,28,28,12,-0.01895185403894395,0.5572139303482587,False,0.810126582278481
tier1_seen_conditions,CVCL_0480,plate4,Lenalidomide (hemihydrate),29,29,12,-0.01978652423526306,0.5074626865671642,False,0.8607594936708861
tier1_seen_conditions,CVCL_0480,plate4,Lidocaine (hydrochloride),23,23,12,0.07365958801097428,0.208955223880597,False,0.189873417721519
tier1_seen_conditions,CVCL_0480,plate4,Clotrimazole,27,27,12,0.1572392969274734,0.06965174129353234,False,0.9493670886075949
tier1_seen_conditions,CVCL_0480,plate4,L-Thyroxine (sodium salt pentahydrate),27,27,12,-0.0538540745657663,0.6517412935323383,False,0.9620253164556962
tier1_seen_conditions,CVCL_0480,plate4,Adagrasib,27,27,12,0.0689725925699527,0.23383084577114427,False,0.8481012658227848
tier1_seen_conditions,CVCL_0480,plate4,8-Hydroxyquinoline,25,25,12,-0.010237423062454454,0.4975124378109453,False,0.810126582278481
tier1_seen_conditions,CVCL_0480,plate4,Chlorhexidine (diacetate),26,26,12,0.07490831104107087,0.21393034825870647,False,0.8227848101265823
tier1_seen_conditions,CVCL_0480,plate4,Trifluridine,29,29,12,0.03592093284764175,0.3582089552238806,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,Retinoic acid,28,28,12,0.22903211296430825,0.029850746268656716,True,1.0
tier1_seen_conditions,CVCL_0480,plate4,Cysteamine (hydrochloride),23,23,12,0.0026532440924000866,0.5174129353233831,False,0.379746835443038
tier1_seen_conditions,CVCL_0480,plate4,Vinblastine (sulfate),28,28,12,0.2163529055810507,0.024875621890547265,True,1.0
tier1_seen_conditions,CVCL_0480,plate4,Pasireotide (acetate),28,28,12,0.13317628239670753,0.10945273631840796,False,0.8860759493670886
tier1_seen_conditions,CVCL_0480,plate4,Palmatine (chloride),28,28,12,0.013723263955212062,0.4228855721393035,False,0.9493670886075949
tier1_seen_conditions,CVCL_0480,plate4,Triamcinolone,29,29,12,0.09839878089758614,0.13930348258706468,False,0.9367088607594937
tier1_seen_conditions,CVCL_0480,plate4,Berberine (chloride hydrate),14,14,12,0.08689293928178365,0.21890547263681592,False,0.11392405063291139
tier1_seen_conditions,CVCL_0480,plate4,Medroxyprogesterone acetate,22,22,12,-0.004573162729444746,0.4925373134328358,False,0.569620253164557
tier1_seen_conditions,CVCL_0480,plate4,Neratinib (maleate),27,27,12,0.18151671051086105,0.04975124378109453,True,0.8734177215189873
tier1_seen_conditions,CVCL_0480,plate4,Sinomenine,16,16,12,0.07283637341414817,0.21890547263681592,False,0.22784810126582278
tier1_seen_conditions,CVCL_0480,plate4,Goserelin (acetate),28,28,12,0.3711857245347421,0.014925373134328358,True,1.0
tier1_seen_conditions,CVCL_0480,plate4,Fusidic acid,28,28,12,-0.052235624093537325,0.7064676616915423,False,0.9367088607594937
tier1_seen_conditions,CVCL_0480,plate4,Balsalazide (sodium hydrate),19,19,12,0.3548765860406764,0.004975124378109453,True,0.7974683544303798
tier1_seen_conditions,CVCL_0480,plate4,Cloxacillin (sodium),19,19,12,0.06382677460303121,0.27860696517412936,False,0.16455696202531644
tier1_seen_conditions,CVCL_0480,plate4,Artesunate,29,29,12,0.0696623164414536,0.2885572139303483,False,0.9620253164556962
tier1_seen_conditions,CVCL_0480,plate4,Pyridoxine (hydrochloride),16,16,12,0.3908857086795017,0.009950248756218905,True,0.5949367088607594
tier1_seen_conditions,CVCL_0480,plate4,Folic acid,25,25,12,0.1439187720286128,0.03482587064676617,True,0.5063291139240507
tier1_seen_conditions,CVCL_0480,plate4,Selinexor,25,25,12,-0.0028648025701158986,0.48258706467661694,False,0.4810126582278481
tier1_seen_conditions,CVCL_0480,plate4,Adenine,25,25,12,0.2536686632475398,0.014925373134328358,True,0.7848101265822784
tier1_seen_conditions,CVCL_0480,plate4,Amsacrine,15,15,12,0.19454888701159767,0.0945273631840796,False,0.26582278481012656
tier1_seen_conditions,CVCL_0546,plate4,Quinestrol,27,27,12,0.009241819460253708,0.4626865671641791,False,0.8717948717948718
tier1_seen_conditions,CVCL_0546,plate4,Tofacitinib,27,27,12,0.24608795237202585,0.06467661691542288,False,0.6794871794871795
tier1_seen_conditions,CVCL_0546,plate4,Trimetrexate,26,26,12,0.009777784569898529,0.34328358208955223,False,0.782051282051282
tier1_seen_conditions,CVCL_0546,plate4,Gemfibrozil,27,27,12,0.018663360865565082,0.40298507462686567,False,0.19230769230769232
tier1_seen_conditions,CVCL_0546,plate4,18β-Glycyrrhetinic acid,25,25,12,0.02190042879278309,0.3880597014925373,False,0.9615384615384616
tier1_seen_conditions,CVCL_0546,plate4,Terfenadine,28,28,12,0.14698852924221306,0.06467661691542288,False,0.717948717948718
tier1_seen_conditions,CVCL_0546,plate4,Fluvoxamine (maleate),26,26,12,-0.05530792945028651,0.6616915422885572,False,0.46153846153846156
tier1_seen_conditions,CVCL_0546,plate4,S-Adenosyl-L-methionine (disulfate tosylate),29,29,12,0.06765651548908558,0.17412935323383086,False,0.6153846153846154
tier1_seen_conditions,CVCL_0546,plate4,Idarubicin (hydrochloride),27,27,12,0.17041100421923439,0.04975124378109453,True,0.21794871794871795
tier1_seen_conditions,CVCL_0546,plate4,Elagolix sodium,27,27,12,0.03389704197639354,0.2935323383084577,False,0.6025641025641025
tier1_seen_conditions,CVCL_0546,plate4,Resveratrol,26,26,12,-0.09012172743794089,0.8557213930348259,False,0.717948717948718
tier1_seen_conditions,CVCL_0546,plate4,Tofacitinib (citrate),28,28,12,0.12583433537289856,0.11940298507462686,False,0.14102564102564102
tier1_seen_conditions,CVCL_0546,plate4,Thymol,27,27,12,-0.05580970420980691,0.7512437810945274,False,0.9102564102564102
tier1_seen_conditions,CVCL_0546,plate4,Darinaparsin,27,27,12,0.06350370018973628,0.21890547263681592,False,0.44871794871794873
tier1_seen_conditions,CVCL_0546,plate4,Vilanterol,28,28,12,-0.036071519972139754,0.6318407960199005,False,0.7051282051282052
